full_date,date,weekday,time,mood,activities,note_title,note
2024-12-07,7 Desember,Sabtu,20.00,biasa,"tidur lebih awal | film","",""
2024-12-06,6 Desember,Jumat,20.00,biasa,"doing task | perjalanan","",""
2024-12-05,5 Desember,Kamis,20.00,baik,"tidur lebih awal | film | game","",""
2024-12-04,4 Desember,Rabu,20.00,keren,"olahraga | tidur lebih awal | membaca | game | culinary","",""
2024-12-03,3 Desember,Selasa,20.00,baik,"olahraga | makan sehat | film","",""
2024-12-02,2 Desember,Senin,22.45,biasa,"doing task","",""
2024-12-01,1 Desember,Minggu,23.17,biasa,"rapat organisasi","",""
2024-11-29,29 November,Jumat,13.24,buruk,"Tidur telat","",""
2024-11-28,28 November,Kamis,20.00,buruk,"doing task | perjalanan","",""
2024-11-27,27 November,Rabu,20.00,baik,"tidur lebih awal | makan sehat | santai","",""
2024-11-26,26 November,Selasa,20.05,baik,"keluarga | olahraga | makan sehat | membaca | culinary","",""
2024-11-25,25 November,Senin,20.00,buruk,"doing task","",""
2024-11-24,24 November,Minggu,20.00,keren,"keluarga | olahraga | tidur lebih awal","",""
2024-11-23,23 November,Sabtu,18.44,baik,"","",""
