full_date,date,weekday,time,mood,activities,note_title,note
2024-12-08,8 Desember,Minggu,2.37 PM,keren,"keluarga | bersih-bersih","","cukup melelahkan karna harus bersih bersih rumah pagi - siang"
2024-12-07,7 Desember,Sabtu,8.00 PM,keren,"keluarga | teman | film | game | coding","",""
2024-12-06,6 Desember,Jumat,8.00 PM,buruk,"film | game | coding","","agak sedih karnaa belum bisa menerapkan random pattern dari tag berdasarkan context di chatbot"
2024-12-05,5 Desember,Kamis,8.00 PM,baik,"keluarga | film | game | bersih-bersih | coding","","hari ini berjalan lancar "
2024-12-04,4 Desember,Rabu,8.00 PM,baik,"keluarga | film | bersih-bersih | coding","","hari ini sangat melelahkan karnaa harus bersih bersih rumah dan mengatur ulang kamar, karna terdapat banyak debu sehabis hujan"
2024-12-03,3 Desember,Selasa,8.00 PM,buruk,"tidur lebih awal | bersih-bersih","","hari ini aku tidak enak badan, sehingga harus beristirahat dan tidur lebih awal :("
2024-12-02,2 Desember,Senin,8.00 PM,keren,"teman | membaca | game | coding","","hari ini aku sangat senang karna bisa mabar bersama teman temankuh anjaayy"
2024-12-01,1 Desember,Minggu,8.00 PM,sangat buruk,"santai | film | game | bersih-bersih | coding","","malam ini moodku buruk, karna komputerku rusak tidak bisa booting"
2024-11-30,30 November,Sabtu,10.48 AM,baik,"makan sehat | santai | coding","","pagi ini aku merasa baik karna mimpiku sangat seru, aku bermimpi dikejar penjahat hingga aku dapat menembak penjahat tersebut sampai mati, kemudian dipagi hari aku bersangai sebentar menonton tv dan dilanjut mengerjakan project"
2024-11-29,29 November,Jumat,8.00 PM,keren,"santai | game | coding","","sekarang moodku sangat baik, aku sangat senang dapat bermain setelahengerjakan tugas, aku bermain valorant menggunakan cheat dan membantai semua musuh, jadi aku sangat senang"
2024-11-29,29 November,Jumat,1.28 PM,buruk,"keluarga | santai | film | coding","","aku mendapat 3 mimpi buruk hari ini, pertama ibulu sekarat, kedua aku punya pacar dan kami menjadi bahan percobaan, ketiga aku mengalami kiamat. tetapi aku dapat mengatasinya dengan menonton film dan bersantai, dan melanjutkan develop aplikasi"
