full_date,date,weekday,time,mood,activities,note_title,note
2024-12-08,8 Desember,Minggu,14.57,keren,"teman | santai | membaca | game","",""
2024-12-07,7 Desember,Sabtu,13.07,keren,"keluarga | teman | kencan | olahraga | santai | belanja","",""
2024-12-06,6 Desember,Jumat,20.00,baik,"tidur lebih awal | santai | game | belanja","",""
2024-12-05,5 Desember,Kamis,20.00,biasa,"keluarga | tidur lebih awal | film","",""
2024-12-04,4 Desember,Rabu,20.52,keren,"keluarga | tidur lebih awal | makan sehat | santai | film | game","",""
2024-12-03,3 Desember,Selasa,20.02,biasa,"teman | tidur lebih awal","",""
2024-12-02,2 Desember,Senin,20.00,baik,"teman | tidur lebih awal | santai | game","",""
2024-12-01,1 Desember,Minggu,11.02,buruk,"","",""
2024-11-30,30 November,Sabtu,20.00,baik,"olahraga | olahraga | bersih-bersih","",""
2024-11-29,29 November,Jumat,13.33,biasa,"tidur lebih awal | makan sehat | santai","",""
2024-11-28,28 November,Kamis,20.00,keren,"tidur lebih awal | makan sehat | membaca | game | bersih-bersih | belanja","",""
2024-11-27,27 November,Rabu,20.00,baik,"tidur lebih awal | game | bersih-bersih | belanja","",""
2024-11-26,26 November,Selasa,20.00,buruk,"tidur lebih awal","",""
2024-11-25,25 November,Senin,20.00,biasa,"santai | belanja","",""
