full_date,date,weekday,time,mood,activities,note_title,note
2024-12-09,December 9,Monday,4:17 PM,awful,"ngejar deadline","",""
2024-12-08,December 8,Sunday,8:00 PM,good,"friends","","im not happy if without u"
2024-12-08,December 8,Sunday,3:28 PM,rad,"friends","","someone"
2024-12-07,December 7,Saturday,8:00 PM,good,"","","i'm good, i trust allah, allah will give me a great something"
2024-12-06,December 6,Friday,8:00 PM,good,"","",""
2024-12-05,December 5,Thursday,8:00 PM,meh,"sleep early","","hari ini capek"
2024-12-03,December 3,Tuesday,8:00 PM,rad,"movies","","alhamdulillah"
2024-12-01,December 1,Sunday,8:00 PM,bad,"","",":)"
2024-11-30,November 30,Saturday,8:14 AM,awful,"ngejar deadline","","Pusinggg"
2024-11-29,November 29,Friday,11:26 PM,meh,"friends | relax","","Aku cinta diriku"
2024-11-28,November 28,Thursday,12:56 PM,rad,"family | date | relax | movies | shopping","",""
