full_date,date,weekday,time,mood,activities,note_title,note
2024-12-08,8 Desember,Minggu,19.00,buruk,"lelah | tidak yakin | cemas | stres | sedih | putus asa | tidur tak nenyak | membaca | masakan rumah | rumah makan | keluarga | teman | mendengarkan | Doing the task | istirahat | belanja | bersih-bersih | hujan | panas | berangin | belajar | proyek kelompok | perawatan kulit","","Apa Ais akan bisa? Memperbaikinya? Ais pun tidak ingin mengacaukan. Ais tidak ingin membuat mereka kecewa juga."
2024-12-07,7 Desember,Sabtu,20.00,biasa,"bersyukur | santai | lelah | tidak yakin | cemas | marah | stres | sedih | putus asa | tidur tak nenyak | Tidur terlalu banyak | jalan kaki | membaca | masakan rumah | keluarga | cerah","","Setelah sekian lama, Ais kembali ke alun-alun. Ais membaca buku baru itu. Jurnal Muslimah. Hah... Ais takut, apakah ini sudah terlalu terlambat untuk Ais berbenah diri? Tapi Ais masih hidup. Bukankah itu berarti Ais masih diberi kesempatan? Tapi kenapa Ais sering lupa diri "
2024-12-06,6 Desember,Jumat,20.00,biasa,"lelah | tidak yakin | bosan | cemas | marah | stres | sedih | tidur tak nenyak | membaca | masakan rumah | hujan","","Perut Ais sakit sekali"
2024-12-05,5 Desember,Kamis,20.00,buruk,"lelah | cemas | stres | tidur tak nenyak | minum air | membaca | masakan rumah | keluarga | hujan","","Hari pertama haid"
2024-12-04,4 Desember,Rabu,20.00,baik,"bersyukur | cemas | tidur lumayan nenyak | minum air | film | membaca | masakan rumah | keluarga | teman | Doing the task | fokus | belanja | bersih-bersih | berawan | berangin | belajar","",""
2024-12-03,3 Desember,Selasa,20.00,buruk,"cemas | stres | sedih | Tidur terlalu banyak | minum air | membaca | masakan rumah | keluarga | kebaikan | Doing the task | fokus | bersih-bersih | berawan | proyek kelompok","","I'll just going through it"
2024-12-02,2 Desember,Senin,16.59,buruk,"lelah | tidak yakin | bosan | cemas | sedih | putus asa | Tidur terlalu banyak | masakan rumah | keluarga | Doing the task | hujan | kelas | belajar | ujian","",""
2024-12-01,1 Desember,Minggu,20.00,biasa,"santai | tidak yakin | cemas | Tidur terlalu banyak | jalan kaki | santai | teman | hujan","",""
2024-11-30,30 November,Sabtu,20.00,buruk,"cemas | marah | stres | sedih | putus asa | Tidur terlalu banyak | masakan rumah | hujan | proyek kelompok","",""
2024-11-29,29 November,Jumat,20.00,biasa,"senang | bersemangat | bersyukur | cemas | sedih | Tidur terlalu banyak | minum air | masakan rumah | rumah makan | keluarga | belanja | hujan","","Mama beli hp"
2024-11-28,28 November,Kamis,20.00,biasa,"bersemangat | bersyukur | tidak yakin | cemas | tidur lumayan nenyak | minum air | membaca | masakan rumah | keluarga | kebaikan | mendengarkan | Doing the task | fokus | bersih-bersih | cerah | berawan | kelas | belajar | pekerjaan rumah | ujian | proyek kelompok","","ILT SS"
2024-11-27,27 November,Rabu,20.00,baik,"bersyukur | santai | tidak yakin | cemas | tidur lumayan nenyak | minum air | jalan kaki | film | membaca | masakan rumah | keluarga | kebaikan | mendengarkan | Doing the task | istirahat | bersih-bersih | berawan | belajar","",""
2024-11-26,26 November,Selasa,20.00,buruk,"tidak yakin | cemas | stres | sedih | putus asa | tidur tak nenyak | minum air | membaca | masakan rumah | keluarga | mendengarkan | fokus | bersih-bersih | berawan | kelas | belajar","",""
2024-11-25,25 November,Senin,20.00,buruk,"cemas | tidur lumayan nenyak | minum air | membaca | masakan rumah | keluarga | teman | mendengarkan | Doing the task | fokus | bersih-bersih | berawan | kelas | belajar | pekerjaan rumah | proyek kelompok","",""
2024-11-24,24 November,Minggu,20.00,biasa,"bersemangat | bersyukur | tidak yakin | cemas | marah | stres | sedih | putus asa | tidur lumayan nenyak | tidur tak nenyak | minum air | jalan kaki | membaca | masakan rumah | keluarga | teman | kebaikan | mendengarkan | Doing the task | mulai lebih awal | buat daftar | fokus | bersih-bersih | cerah | berawan | kelas | belajar","",""
2024-11-23,23 November,Sabtu,20.00,buruk,"cemas | tidur tak nenyak | hujan","",""
2024-11-22,22 November,Jumat,12.03,buruk,"lelah | putus asa | Tidur terlalu banyak | minum air | santai | masakan rumah | keluarga | berawan","",""
